مرض,الأعراض_1,الأعراض_2,الأعراض_3,الأعراض_4,الأعراض_5,الأعراض_6,الأعراض_7,الأعراض_8,الأعراض_9,الأعراض_10,الأعراض_11,الأعراض_12,الأعراض_13,الأعراض_14,الأعراض_15,الأعراض_16,الأعراض_17
الدنج,طفح_جلدي,قشعريرة,ألم_مفصلي,القيء,الإرهاق,ارتفاع_الحرارة,صداع,غثيان,فقدان_الشهية,ألم_خلف_العينين,ألم_في_الظهر,شعور_بالضيق,ألم_عضلي,بقع_حمراء_على_الجسم,,,
التيفوئيد,قشعريرة,القيء,الإرهاق,ارتفاع_الحرارة,صداع,غثيان,إمساك,ألم_بطني,إسهال,مظهر_سمي_(تيفوس),ألم_بطني_سفلي,,,,,,
التهاب_الكبد_أ,ألم_مفصلي,القيء,جلد_أصفر,بول_داكن,غثيان,فقدان_الشهية,ألم_بطني,إسهال,حرارة_خفيفة,اصفرار_العينين,ألم_عضلي,,,,,,
التهاب_الكبد_ب,حكة,الإرهاق,كسل,جلد_أصفر,بول_داكن,فقدان_الشهية,ألم_بطني,بول_أصفر,اصفرار_العينين,شعور_بالضيق,استلام_دم_منقول,حقن_غير_معقمة,,,,,
التهاب_الكبد_ج,الإرهاق,جلد_أصفر,غثيان,فقدان_الشهية,اصفرار_العينين,تاريخ_عائلي,,,,,,,,,,,
التهاب_الكبد_د,ألم_مفصلي,القيء,الإرهاق,جلد_أصفر,بول_داكن,غثيان,فقدان_الشهية,ألم_بطني,اصفرار_العينين,,,,,,,,
التهاب_الكبد_هـ,ألم_مفصلي,القيء,الإرهاق,ارتفاع_الحرارة,جلد_أصفر,بول_داكن,غثيان,فقدان_الشهية,ألم_بطني,اصفرار_العينين,فشل_كبدي_حاد,غيبوبة,نزيف_معدي,,,,
التهاب_الكبد_الكحولي,القيء,جلد_أصفر,ألم_بطني,انتفاخ_البطن,تمدد_البطن,تاريخ_استهلاك_الكحول,تراكم_السوائل,,,,,,,,,,
السل,قشعريرة,القيء,الإرهاق,فقدان_الوزن,سعال,ارتفاع_الحرارة,ضيق_التنفس,تعرق,فقدان_الشهية,حرارة_خفيفة,اصفرار_العينين,تورم_العقد_اللمفاوية,شعور_بالضيق,بلغم,ألم_في_الصدر,دم_في_اللعاب,
الزكام_الشائع,عطس_مستمر,قشعريرة,الإرهاق,سعال,ارتفاع_الحرارة,صداع,تورم_العقد_اللمفاوية,شعور_بالضيق,بلغم,تهيج_الحلق,احمرار_العينين,ضغط_جيوب_أنفية,انسداد_أنفي,احتقان,ألم_في_الصدر,فقدان_الشم,ألم_عضلي
الالتهاب_الرئوي,قشعريرة,الإرهاق,سعال,ارتفاع_الحرارة,ضيق_التنفس,تعرق,شعور_بالضيق,بلغم,ألم_في_الصدر,نبض_سريع,بلغم_صدئ,,,,,,
البواسير_الثنائية_الشكل,إمساك,ألم_أثناء_الإخراج,ألم_في_منطقة_الشرج,براز_دموي,تهيج_في_الشرج,,,,,,,,,,,,
نوبة_قلبية,القيء,ضيق_التنفس,تعرق,ألم_في_الصدر,,,,,,,,,,,,,
الدوالي,الإرهاق,تشنجات,كدمات,سمنة,أرجل_منتفخة,أوعية_دموية_منتفخة,أوردة_بارزة_في_الساق,,,,,,,,,,
القصور_الدرقي,الإرهاق,زيادة_الوزن,أيدي_وأقدام_باردة,تغيرات_في_المزاج,كسل,دوخة,وجه_وما_حول_العينين_منتفخ,تضخم_الغدة_الدرقية,أظافر_متقشرة,أطراف_منتفخة,اكتئاب,تهيج,دورة_حيض_غير_طبيعية,,,,
فرط_نشاط_الغدة_الدرقية,الإرهاق,تغيرات_في_المزاج,فقدان_الوزن,عصبية,تعرق,إسهال,نبض_سريع,جوع_زائد,ضعف_عضلي,تهيج,دورة_حيض_غير_طبيعية,,,,,,
نقص_سكر_الدم,القيء,الإرهاق,قلق,تعرق,صداع,غثيان,رؤية_ضبابية_ومشوهة,جوع_زائد,شفتان_جافتان_ومشققتان,كلام_غير_واضح,تهيج,نبضات_سريعة,,,,,
التهاب_المفاصل_التنكسي,ألم_مفصلي,ألم_في_الرقبة,ألم_في_الركبة,ألم_في_الحوض,تورم_المفاصل,مشي_مؤلم,,,,,,,,,,,
التهاب_المفاصل,ضعف_عضلي,تيبس_الرقبة,تورم_المفاصل,تيبس_الحركة,مشي_مؤلم,,,,,,,,,,,,
الدوار_الوضعي_الانتيابي,القيء,صداع,غثيان,حركات_دورانية,فقدان_التوازن,استقرار,,,,,,,,,,,
الأكزيما,طفح_جلدي,خراجات,رؤوس_سوداء,تقشر,,,,,,,,,,,,,
التهاب_المسالك_البولية,حرقة_أثناء_التبول,انزعاج_المثانة,رائحة_كريهة_للبول,شعور_مستمر_بالتبول,,,,,,,,,,,,,
الصدفية,طفح_جلدي,ألم_مفصلي,تقشر_الجلد,غبار_فضي,أسنان_صغيرة_في_الأظافر,التهاب_الأظافر,,,,,,,,,,,
التهاب_الجلد_التقيحي,طفح_جلدي,ارتفاع_الحرارة,فقاعة,قرحة_حمراء_حول_الأنف,قشرة_صفراء_متسربة,,,,,,,,,,,
